"X1.3","X2.3","X3.3","X4.3","X5.3","X6.3","X7.3","X8.3","X9.3","X10.3"
0,0.0991831971995333,0.233372228704784,0.0770128354725788,0.577596266044341,0,0.0128354725787631,0,0,0
0,0.417864476386037,0.0924024640657084,0,0.484599589322382,0,0.00513347022587269,0,0,0
0,0.0637755102040816,0,0.358843537414966,0.576530612244898,0.000850340136054422,0,0,0,0
0,0.23265306122449,0,0,0.76734693877551,0,0,0,0,0
0,0.133294697189221,0.0544769631990727,0,0.800637496377862,0,0.0115908432338453,0,0,0
0,0.307692307692308,0,0,0.692307692307692,0,0,0,0,0
0.018957345971564,0.0710900473933649,0.797788309636651,0.0157977883096366,0.0789889415481833,0,0.0157977883096366,0,0,0.00157977883096367
0.0707850707850708,0.478764478764479,0,0.045045045045045,0.0965250965250965,0,0.308880308880309,0,0,0
0,0.316188413643747,0,0,0.624255549539794,0,0.0595560368164591,0,0,0
0,0,0,0,0.633778394312467,0.366221605687532,0,0,0,0
0,0.098456403838131,0,0,0.851063829787234,0,0.050479766374635,0,0,0
0,0,0.659914978744686,0,0.0300075018754689,0,0.310077519379845,0,0,0
0,0.0102813020184924,0,0.0195834324161759,0.544489361999748,0,0.425645903565583,0,0,0
0,0.185119574844996,0.545615589016829,0,0.269264836138175,0,0,0,0,0
0,0.280898876404494,0,0.0449438202247191,0.674157303370786,0,0,0,0,0
0.0332478388904721,0,0,0,0.934739241949273,0,0.0284981476204047,0,0,0.00351477153984991
0,0,0,0,0,0,0,0.375,0.625,0
0,0,0,0.0431062714917308,0.13079253315867,0,0.726625184214835,0.0994760111347634,0,0
0,0,0,0.00211487513074815,0,0.991013689426388,0,0.00687143544286401,0,0
0,0,0,0.354098360655738,0,0,0,0.645901639344262,0,0
0.0793332569595601,0.0970901592393172,0,0,0,0,0.659411158208271,0.109749112154886,0,0.0544163134379654
0,0,0,0,0,0,0,0,1,0
0,0.842484248424842,0,0,0,0,0,0.15001500150015,0.0075007500750075,0
0,0,0,0,0,0.103030303030303,0,0.336700336700337,0,0.56026936026936
0,0.201194678251425,0.494488188976378,0,0,0.304317132772197,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0.127990830507665,0.0392116448530946,0,0,0.0722273471060047,0.757805253857697,0.00276492367553872,0,0
0.653979238754325,0,0,0,0,0,0.346020761245675,0,0,0
0.0404231205137892,0,0,0,0,0,0.204004533434076,0.755572346052135,0,0
0,0,0,0,0,0,0.0758012548753604,0.802526708495845,0.00423944378497541,0.117432592843819
0,0,0,0,0,0,0,0,0.00290810391624661,0.997091896083753
0.0597014925373134,0,0,0,0,0,0.938507462686567,0,0.0017910447761194,0
0,0.364535266974291,0,0,0,0,0,0.635464733025709,0,0
0,1,0,0,0,0,0,0,0,0
0,0.0635792928425592,0.897303795294522,0,0,0.0200354914419829,0.0190814204209361,0,0,0
0,0,0,0,0,0,0,0.976190476190476,0.0238095238095238,0
1,0,0,0,0,0,0,0,0,0
0,0.0340459224069675,0,0,0,0,0,0.965954077593033,0,0
0,0,0,0,0,0,0,1,0,0
0,0.054972916906765,0,0,0,0,0.945027083093235,0,0,0
0,0,0,0,0,0,0,0.61025641025641,0.38974358974359,0
0,0.0550367855121675,0,0.031989247311828,0.00764006791171477,0.90533389926429,0,0,0,0
0,0.159171298635675,0,0,0,0,0.840828701364325,0,0,0
0,0,0,0,0,0.523184416684311,0,0,0,0.476815583315689
0.0912001024360575,0,0,0,0,0,0,0.181063734434521,0.100035212394763,0.627700950734659
0,0,0,0,0,0,0,1,0,0
0,0.202495497395791,0,0,0.542113546754069,0,0.247278155473706,0,0.00811280037643394,0
0,0.189948055594553,0,0,0.327865311720429,0,0.431970107668549,0.0431970107668549,0.00161988790375706,0.00539962634585687
0.146175286466398,0.541963456178383,0,0,0,0,0.0641065345308145,0.247754722824404,0,0
0.0762133234914191,0.246355416128437,0,0,0,0,0.394168665805499,0.280494556191179,0.00276803838346558,0
0.0773163386791792,0.298620351565236,0,0,0.240843196302262,0,0.383220113453323,0,0,0
0.882352941176471,0,0,0,0,0,0.117647058823529,0,0,0
0,0,0,0,0,0,0.987377279102384,0.0126227208976157,0,0
0,0.419504643962848,0,0,0,0,0,0.580495356037152,0,0
0.0440464666021297,0.0138754436915134,0,0,0,0,0,0.510245240400129,0.0282349144885447,0.403597934817683
0.0666666666666667,0,0,0,0,0,0,0.724444444444444,0.0533333333333333,0.155555555555556
0,0,0,0,0,0,1,0,0,0
0,0.0689371213458032,0,0,0,0,0,0.412916887241927,0,0.51814599141227
0.201955713593018,0.767738807176337,0,0,0.0303054792306449,0,0,0,0,0
0.242165130417729,0.725240243184938,0,0.0325946263973328,0,0,0,0,0,0
0.149953139643861,0.200418138562468,0.532045274313316,0.0166534496431404,0,0.100929997837214,0,0,0,0
0,0.0196560196560197,0,0,0.98034398034398,0,0,0,0,0
0,0.228187919463087,0,0.0260999254287845,0.745712155108128,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0
0.0427341059995799,0.222758034906979,0.213003808532208,0.002922614644126,0.116721922349782,0.401859513567325,0,0,0,0
0.258121408659043,0.721966205837174,0,0.0199123855037834,0,0,0,0,0,0
0,0,0,0,0,0,0,0.635055940330314,0,0.364944059669686
0.0172612197928654,0.632911392405063,0,0,0.349827387802071,0,0,0,0,0
0,0.483005366726297,0.219141323792487,0,0.297853309481217,0,0,0,0,0
0,0.431818181818182,0,0,0.374251497005988,0,0.19393032117583,0,0,0
0.31566735865185,0.677005739406521,0,0.00732690194162901,0,0,0,0,0,0
0.0517902335365789,0.0942902602325755,0,0.00925817164458018,0,0,0.844661334586265,0,0,0
0,0.414882795723231,0,0,0.562512715025204,0,0,0,0,0.0226044892515654
0,0.151184111889687,0.475122916058099,0.012669944428216,0.361023027623998,0,0,0,0,0
0.045338441890166,0.194125159642401,0,0,0.760536398467433,0,0,0,0,0
0.0133719634499666,0.422554045018944,0,0,0.452640962781368,0,0.111433028749721,0,0,0
0,0.484191688208391,0,0.0608470868960032,0.161463511632531,0,0.293497713263074,0,0,0
0.147890240089241,0.472369877715899,0,0.0474093855371796,0.332330496657681,0,0,0,0,0
0,0.750096622091675,0.160779160547268,0.00772976733400325,0.040581278503517,0,0.0408131715235371,0,0,0
0,0.670566502463054,0,0.0743615504277936,0.255071947109152,0,0,0,0,0
0.05431675242996,0.91507752329062,0,0.0306057242794202,0,0,0,0,0,0
0.0263522626276438,0.734034817305481,0,0.0304294051473924,0.209183514919483,0,0,0,0,0
0,0.0569115973188314,0.260844821044644,0,0.103642342228405,0,0.578601239408119,0,0,0
0.0876152344232718,0.201428536121203,0.207607325572774,0.00259509156965967,0.189342823953931,0,0.311410988359161,0,0,0
0.0068296680781314,0.286299685835268,0,0,0.7068706460866,0,0,0,0,0
0,0.257978749211586,0,0.0688176216583378,0.345708602202707,0.327495026927369,0,0,0,0
0.191632142526241,0.552739209275853,0,0.103929795767098,0.15056054850366,0,0,0,0.00113830392714855,0
