Species	c14.0	c16.0	c16.1w7	c16.2w6	c16.2w4	c16.3w6	c17.0	c16.3w4	c16.3w1	c16.4w1	c18.0	c18.1w9	c18.1w7	c18.2w6	c18.2w4	c18.3w6	c18.3w4	c18.3w3	c18.3w1	c18.4w3	c18.4w1	c20.1w11	c20.1w9	c20.1w7	c20.2w6	c20.3w6	c20.4w6	c20.3w3	c20.4w3	c20.5w3	c22.1w11	c22.1w9	c22.1w7	c22.2w6	c21.5w3	c22.4w6	c22.5w6	c22.4w3	c22.5w3	c22.6w3
Butterfish	0.05530973	0.1435841	0.02621681	2.21E-04	0.01946903	8.85E-04	0.006747788	5.53E-04	0	5.53E-04	0.05553097	0.1612832	0.01935841	0.008075221	6.64E-04	0.003539823	8.85E-04	0.006084071	1.11E-04	0.005420354	3.32E-04	0.005641593	0.06283186	0.0289823	0.008185841	9.96E-04	0.02721239	0.003982301	0.007190265	0.07068584	0.05221239	0.03163717	0.002212389	0.001880531	0.001659292	0.01017699	0.008960177	0.001548673	0.04800885	0.1111726
Butterfish	0.070706	0.1826217	0.04962198	5.32E-04	0.01160686	0.003301033	0.003833458	7.45E-04	0	7.45E-04	0.03215845	0.1825152	0.0176765	0.01181983	8.52E-04	4.26E-04	7.45E-04	0.01150037	0.002875093	0.01607922	7.45E-04	0.005643701	0.07272921	0.008092855	0.003620488	3.19E-04	0.009690129	0.002023214	0.01235225	0.04610798	0.07741455	0.02491747	0.001277819	4.26E-04	0.002342669	0.002342669	0.003833458	8.52E-04	0.02289426	0.1020126
Butterfish	0.07205287	0.1733106	0.04412705	4.26E-04	0.01342997	0.002664677	0.004156896	8.53E-04	0	8.53E-04	0.03101684	0.2043274	0.01556171	0.0123641	6.40E-04	4.26E-04	6.40E-04	0.0132168	0.002877851	0.0222767	5.33E-04	0.00511618	0.06587082	0.008207205	0.004050309	3.20E-04	0.009912599	0.002131742	0.01204434	0.04849712	0.07247922	0.02398209	0.001065871	5.33E-04	0.002344916	0.002344916	0.003837135	7.46E-04	0.01939885	0.1013643
Butterfish	0.06282445	0.1679203	0.04396652	5.30E-04	0.01239538	0.002012925	0.004449624	1.06E-04	0.001165378	0.001059434	0.03750397	0.1927111	0.01885793	0.008157644	8.48E-04	2.12E-04	5.30E-04	0.007204153	0.002648586	0.007521983	6.36E-04	0.004237737	0.06918106	0.01175972	0.00370802	2.12E-04	0.0104884	0.001695095	0.007521983	0.0531836	0.07331285	0.03337218	0.001801038	2.12E-04	0.002118869	0.00339019	0.00402585	5.30E-04	0.02489671	0.1210933
Capelin	0.01191472	0.1703595	0.03072742	2.09E-04	0.004703177	0.001358696	9.41E-04	7.32E-04	0	8.36E-04	0.03166806	0.09301839	0.04358278	0.006897993	0	0.001254181	1.05E-04	0.002194816	0.001254181	0.003867057	0.001672241	0.004494147	0.0236204	0.002821906	0.001254181	5.23E-04	0.01066054	4.18E-04	0.003553512	0.173913	0.009615385	0.001672241	6.27E-04	0	0.003030936	2.09E-04	0.001776756	2.09E-04	0.01881271	0.3354933
Capelin	0.01340174	0.1610303	0.03130562	1.05E-04	0.003455136	0.001361114	0.002198723	7.33E-04	0	0.002198723	0.02648937	0.08020103	0.03832059	0.008480787	1.05E-04	0.001361114	2.09E-04	0.002408125	9.42E-04	0.004502146	0.001884619	0.004606847	0.03612187	0.004083342	0.001361114	5.24E-04	0.006386766	4.19E-04	0.004397445	0.1800859	0.01204062	0.00198932	6.28E-04	0	0.003559837	7.33E-04	0.002408125	3.14E-04	0.02062611	0.3390221
Capelin	0.01426174	0.1758599	0.03513003	0	0.004928691	0.001468121	0.00199245	6.29E-04	0	8.39E-04	0.02936242	0.07403523	0.03880034	0.007340604	0	0.001782718	5.24E-04	0.002307047	0.001468121	0.003984899	0.002516779	0.005767617	0.03838087	0.004614094	0.001572987	5.24E-04	0.007235738	5.24E-04	0.004614094	0.1708263	0.01740772	0.00272651	7.34E-04	0	0.003775168	1.05E-04	0.002516779	0	0.02128775	0.3201552
Capelin	0.01297478	0.1701371	0.03170451	2.09E-04	0.003452966	0.001674166	0.001046353	8.37E-04	0	8.37E-04	0.03254159	0.0882076	0.046772	0.008161557	0	0.001464895	2.09E-04	0.002092707	0.001046353	0.003662237	0.001778801	0.004394685	0.02762373	0.003662237	0.001360259	4.19E-04	0.01161452	4.19E-04	0.003452966	0.1777755	0.01266088	0.002197342	8.37E-04	0	0.002720519	0	0.002092707	0	0.01841582	0.3215444
Capelin	0.01147489	0.1734919	0.03231919	2.11E-04	0.00421097	0.001052742	0.001052742	6.32E-04	0	7.37E-04	0.03705653	0.1061164	0.04179387	0.006842826	0	0.001158017	1.05E-04	0.001894936	0.001158017	0.003158227	0.001789662	0.004737341	0.02263396	0.002947679	0.001052742	4.21E-04	0.0106327	4.21E-04	0.003158227	0.1549637	0.01179071	0.001894936	7.37E-04	0	0.003052953	0	0.001789662	0	0.02105485	0.332456
Capelin	0.01288959	0.1622821	0.0375066	2.11E-04	0.004014791	0.001584786	0.002852615	7.40E-04	0	8.45E-04	0.03201268	0.1000528	0.04215531	0.008029583	0	0.001690438	2.11E-04	0.002007396	0.001056524	0.003380877	0.002113048	0.00528262	0.03359746	0.004226096	0.001267829	4.23E-04	0.008980454	3.17E-04	0.003486529	0.1622821	0.01679873	0.002852615	8.45E-04	0	0.002958267	0	0.001796091	0	0.019757	0.3194929
Capelin	0.01058146	0.1660555	0.02996333	0	0.003981142	0.001257203	0.003352541	6.29E-04	0	5.24E-04	0.03247774	0.08737559	0.04546883	0.008381351	0	0.001466737	3.14E-04	0.002095338	0.001047669	0.003247774	0.001571503	0.004819277	0.02839183	0.003981142	0.00136197	5.24E-04	0.01089576	5.24E-04	0.003457307	0.1610267	0.0142483	0.001990571	6.29E-04	0	0.002828706	0	0.002095338	0	0.01801991	0.3454164
Capelin	0.01689225	0.1686077	0.04112895	3.15E-04	0.003462386	0.00262302	0.002308257	0.001049208	0	0.001154129	0.02560067	0.07921519	0.04165355	0.00933795	0	0.001573812	1.05E-04	0.002308257	9.44E-04	0.004406673	0.002098416	0.006924772	0.04627007	0.004826356	0.001678733	5.25E-04	0.007134613	6.30E-04	0.003672227	0.1654601	0.03661735	0.004196831	0.001154129	0	0.003252544	0	0.002413178	3.15E-04	0.01857098	0.2915749
Capelin	0.05259251	0.1727282	0.05291061	0.002862899	0.003393065	0.004665465	0.001696533	0.002014633	0.001590499	0.003393065	0.02057046	0.1034885	0.04177712	0.01463259	8.48E-04	0.0012724	0.001590499	0.006149931	5.30E-04	0.01431449	9.54E-04	0.003499099	0.04888135	0.002968932	0.002120666	0.001060333	0.007422331	0.001060333	0.003923232	0.1341321	0.04866928	0.005513731	0.001378433	2.12E-04	0.002544799	5.30E-04	0.002968932	4.24E-04	0.01092143	0.2177924
Capelin	0.08807848	0.1434208	0.0855193	7.46E-04	0.005118362	0.003732139	0.002559181	2.13E-04	0	0.002026018	0.01386223	0.1065259	0.0271913	0.01684794	6.40E-04	0.001279591	5.33E-04	0.009383664	0.001172958	0.0173811	4.27E-04	0.006931115	0.09810194	0.003518874	0.002452549	4.27E-04	0.004691832	0.001066325	0.00501173	0.06984432	0.1214545	0.008637236	0.001386223	2.13E-04	0.002345916	2.13E-04	0.001599488	4.27E-04	0.007037748	0.1379825
Capelin	0.08450854	0.1427208	0.0802672	4.24E-04	0.004983565	0.002968932	0.001696533	1.06E-04	0	8.48E-04	0.01505673	0.0990351	0.02831089	0.01431449	6.36E-04	8.48E-04	6.36E-04	0.005513731	0.001166366	0.007422331	3.18E-04	0.007528364	0.1136677	0.004877532	0.001802566	3.18E-04	0.004877532	6.36E-04	0.003923232	0.07369314	0.1189694	0.01060333	0.001802566	2.12E-04	0.001802566	0	0.001696533	4.24E-04	0.00774043	0.1536422
Capelin	0.06949439	0.1458642	0.07658134	5.29E-04	0.005182991	0.002750159	0.001903956	2.12E-04	1.06E-04	8.46E-04	0.01480855	0.07414851	0.0252803	0.01480855	6.35E-04	8.46E-04	4.23E-04	0.004971441	0.001163529	0.006663846	4.23E-04	0.007510049	0.1129681	0.005606093	0.001903956	4.23E-04	0.005394542	5.29E-04	0.003596361	0.07340808	0.1250264	0.01089486	0.002115507	2.12E-04	0.001798181	0	0.001903956	3.17E-04	0.008779353	0.1899725
Capelin	0.07664696	0.1312289	0.1272171	6.33E-04	0.004011824	0.005067568	0.001689189	2.11E-04	0.001583615	0.001794764	0.01013514	0.08372044	0.0267103	0.0160473	8.45E-04	0.001055743	6.33E-04	0.007179054	9.50E-04	0.01361909	8.45E-04	0.006334459	0.1172931	0.006756757	0.002111486	3.17E-04	0.002850507	7.39E-04	0.004117399	0.0666174	0.1405194	0.01361909	0.002956081	2.11E-04	0.002217061	0	0.001372466	3.17E-04	0.006017736	0.1138091
Capelin	0.07417929	0.1567761	0.07901936	4.21E-04	0.004103535	0.002630471	0.001367845	2.10E-04	0	0.001052189	0.01578283	0.09438131	0.03619529	0.01757155	4.21E-04	4.21E-04	5.26E-04	0.006944444	9.47E-04	0.01031145	4.21E-04	0.002946128	0.09995791	0.004524411	0.001788721	2.10E-04	0.005260943	6.31E-04	0.003472222	0.08691077	0.1077441	0.008522727	0.001367845	2.10E-04	0.002104377	0	0.001578283	2.10E-04	0.006944444	0.1619318
Capelin	0.07614106	0.1551414	0.07910622	4.24E-04	0.004447739	0.003812348	0.001800275	2.12E-04	0	8.47E-04	0.01524939	0.09244943	0.03240496	0.01355501	8.47E-04	8.47E-04	8.47E-04	0.005506725	0.001058985	0.008683681	4.24E-04	0.00582442	0.1004977	0.004659536	0.002012072	3.18E-04	0.004765435	6.35E-04	0.003812348	0.08906068	0.09372022	0.01048396	0.001906174	2.12E-04	0.002117971	0	0.00148258	3.18E-04	0.006989304	0.1773801
